rated,created_at,turns,victory_status,winner,start_time,increment_time,white_id,black_id,white_rating,black_rating,spread,opening_name,opening_ply,white_rank,black_rank,avg_rating,avg_rank
FALSE,1.50E+12,13,outoftime,white,15,2,bourgris,a-00,1500,1191,309,Slav Defense,5,Class C,Novice,1346,Class D
TRUE,1.50E+12,16,resign,black,5,10,a-00,skinnerua,1322,1261,61,Nimzowitsch Defense,4,Class D,Class D,1292,Class D
TRUE,1.50E+12,61,mate,white,5,10,ischia,a-00,1496,1500,-4,King's Pawn Game,3,Class C,Class C,1498,Class C
TRUE,1.50E+12,61,mate,white,20,0,daniamurashov,adivanov2009,1439,1454,-15,Queen's Pawn Game,3,Class C,Class C,1447,Class C
TRUE,1.50E+12,95,mate,white,30,3,nik221107,adivanov2009,1523,1469,54,Philidor Defense,5,Class C,Class C,1496,Class C
FALSE,1.50E+12,5,draw,draw,10,0,trelynn17,franklin14532,1250,1002,248,Sicilian Defense,4,Class D,Novice,1126,Novice
TRUE,1.50E+12,33,resign,white,10,0,capa_jr,daniel_likes_chess,1520,1423,97,Blackmar-Diemer Gambit,10,Class C,Class C,1472,Class C
FALSE,1.50E+12,9,resign,black,15,30,daniel_likes_chess,soultego,1413,2108,-695,Nimzowitsch Defense,5,Class C,Expert,1761,Class B
TRUE,1.50E+12,66,resign,black,15,0,ehabfanri,daniel_likes_chess,1439,1392,47,Italian Game,6,Class C,Class D,1416,Class C
TRUE,1.50E+12,119,mate,white,10,0,daniel_likes_chess,mirco25,1381,1209,172,Scandinavian Defense,4,Class D,Class D,1295,Class D
FALSE,1.50E+12,39,mate,white,20,60,daniel_likes_chess,anaissac,1381,1272,109,Van't Kruijs Opening,1,Class D,Class D,1327,Class D
FALSE,1.50E+12,38,resign,black,20,60,daniel_likes_chess,subham777,1381,1867,-486,French Defense,9,Class D,Class A,1624,Class B
FALSE,1.50E+12,60,resign,black,5,40,daniel_likes_chess,roman12342005,1381,1936,-555,French Defense,3,Class D,Class A,1659,Class B
FALSE,1.50E+12,31,resign,black,8,0,daniel_likes_chess,alkhan,1381,1607,-226,French Defense,2,Class D,Class B,1494,Class C
FALSE,1.50E+12,31,mate,white,15,15,shivangithegenius,sureka_akshat,1094,1141,-47,Four Knights Game,8,Novice,Novice,1118,Novice
FALSE,1.50E+12,43,resign,black,15,15,sureka_akshat,shivangithegenius,1141,1094,47,Italian Game,7,Novice,Novice,1118,Novice
FALSE,1.50E+12,52,resign,black,15,15,shivangithegenius,sureka_akshat,1094,1141,-47,Four Knights Game,8,Novice,Novice,1118,Novice
